2024-06-09 17:18:04,582 INFO    StreamThr :89319 [internal.py:wandb_internal():86] W&B internal server running at pid: 89319, started at: 2024-06-09 17:18:04.581719
2024-06-09 17:18:04,583 DEBUG   HandlerThread:89319 [handler.py:handle_request():146] handle_request: status
2024-06-09 17:18:04,584 INFO    WriterThread:89319 [datastore.py:open_for_write():87] open: /data/khullar/Desktop/s4/s4/wandb/run-20240609_171804-6t39o5ma/run-6t39o5ma.wandb
2024-06-09 17:18:04,584 DEBUG   SenderThread:89319 [sender.py:send():382] send: header
2024-06-09 17:18:04,585 DEBUG   SenderThread:89319 [sender.py:send():382] send: run
2024-06-09 17:18:04,824 INFO    SenderThread:89319 [dir_watcher.py:__init__():211] watching files in: /data/khullar/Desktop/s4/s4/wandb/run-20240609_171804-6t39o5ma/files
2024-06-09 17:18:04,824 INFO    SenderThread:89319 [sender.py:_start_run_threads():1136] run started: 6t39o5ma with start time 1717967884.581596
2024-06-09 17:18:04,828 DEBUG   HandlerThread:89319 [handler.py:handle_request():146] handle_request: check_version
2024-06-09 17:18:04,829 DEBUG   SenderThread:89319 [sender.py:send_request():409] send_request: check_version
2024-06-09 17:18:04,940 DEBUG   HandlerThread:89319 [handler.py:handle_request():146] handle_request: run_start
2024-06-09 17:18:04,968 DEBUG   HandlerThread:89319 [system_info.py:__init__():27] System info init
2024-06-09 17:18:04,968 DEBUG   HandlerThread:89319 [system_info.py:__init__():42] System info init done
2024-06-09 17:18:04,968 INFO    HandlerThread:89319 [system_monitor.py:start():194] Starting system monitor
2024-06-09 17:18:04,968 INFO    SystemMonitor:89319 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-09 17:18:04,969 INFO    SystemMonitor:89319 [interfaces.py:start():190] Started cpu monitoring
2024-06-09 17:18:04,969 INFO    HandlerThread:89319 [system_monitor.py:probe():214] Collecting system info
2024-06-09 17:18:04,969 INFO    SystemMonitor:89319 [interfaces.py:start():190] Started disk monitoring
2024-06-09 17:18:04,970 INFO    SystemMonitor:89319 [interfaces.py:start():190] Started gpu monitoring
2024-06-09 17:18:04,970 INFO    SystemMonitor:89319 [interfaces.py:start():190] Started memory monitoring
2024-06-09 17:18:04,971 INFO    SystemMonitor:89319 [interfaces.py:start():190] Started network monitoring
2024-06-09 17:18:05,012 DEBUG   HandlerThread:89319 [system_info.py:probe():151] Probing system
2024-06-09 17:18:05,014 DEBUG   HandlerThread:89319 [system_info.py:_probe_git():136] Probing git
2024-06-09 17:18:05,017 DEBUG   HandlerThread:89319 [system_info.py:_probe_git():144] Probing git done
2024-06-09 17:18:05,017 DEBUG   HandlerThread:89319 [system_info.py:probe():199] Probing system done
2024-06-09 17:18:05,018 DEBUG   HandlerThread:89319 [system_monitor.py:probe():223] {'os': 'Linux-5.15.0-107-generic-x86_64-with-glibc2.35', 'python': '3.11.5', 'heartbeatAt': '2024-06-09T21:18:05.012958', 'startedAt': '2024-06-09T21:18:04.579165', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/data/khullar/Desktop/s4/s4/lstm_example.py', 'codePathLocal': 'lstm_example.py', 'codePath': 'lstm_example.py', 'git': {'remote': 'https://github.com/state-spaces/s4', 'commit': 'e757cef57d89e448c413de7325ed5601aceaac13'}, 'email': 'jayeshkhullar@gmail.com', 'root': '/data/khullar/Desktop/s4/s4', 'host': 'tensorbook-a3', 'username': 'khullar', 'executable': '/usr/local/bin/python', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2.5053124999999996, 'min': 800.0, 'max': 4600.0}, 'cpu_freq_per_core': [{'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 3.878, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}, {'current': 2.3, 'min': 800.0, 'max': 4600.0}], 'disk': {'/': {'total': 0.015625, 'used': 1.1444091796875e-05}}, 'gpu': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'memory_total': 17179869184}], 'memory': {'total': 62.575599670410156}}
