2024-06-10 18:21:17,925 INFO    StreamThr :43204 [internal.py:wandb_internal():86] W&B internal server running at pid: 43204, started at: 2024-06-10 18:21:17.925555
2024-06-10 18:21:17,926 DEBUG   HandlerThread:43204 [handler.py:handle_request():146] handle_request: status
2024-06-10 18:21:17,928 INFO    WriterThread:43204 [datastore.py:open_for_write():87] open: /data/khullar/Desktop/s4/s4/wandb/run-20240610_182117-267z4272/run-267z4272.wandb
2024-06-10 18:21:17,928 DEBUG   SenderThread:43204 [sender.py:send():382] send: header
2024-06-10 18:21:17,929 DEBUG   SenderThread:43204 [sender.py:send():382] send: run
2024-06-10 18:21:18,312 INFO    SenderThread:43204 [dir_watcher.py:__init__():211] watching files in: /data/khullar/Desktop/s4/s4/wandb/run-20240610_182117-267z4272/files
2024-06-10 18:21:18,312 INFO    SenderThread:43204 [sender.py:_start_run_threads():1136] run started: 267z4272 with start time 1718058077.925485
2024-06-10 18:21:18,316 DEBUG   HandlerThread:43204 [handler.py:handle_request():146] handle_request: check_version
2024-06-10 18:21:18,316 DEBUG   SenderThread:43204 [sender.py:send_request():409] send_request: check_version
2024-06-10 18:21:18,427 DEBUG   HandlerThread:43204 [handler.py:handle_request():146] handle_request: run_start
2024-06-10 18:21:18,448 DEBUG   HandlerThread:43204 [system_info.py:__init__():27] System info init
2024-06-10 18:21:18,448 DEBUG   HandlerThread:43204 [system_info.py:__init__():42] System info init done
2024-06-10 18:21:18,448 INFO    HandlerThread:43204 [system_monitor.py:start():194] Starting system monitor
2024-06-10 18:21:18,448 INFO    SystemMonitor:43204 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-10 18:21:18,449 INFO    HandlerThread:43204 [system_monitor.py:probe():214] Collecting system info
2024-06-10 18:21:18,449 INFO    SystemMonitor:43204 [interfaces.py:start():190] Started cpu monitoring
2024-06-10 18:21:18,449 INFO    SystemMonitor:43204 [interfaces.py:start():190] Started disk monitoring
2024-06-10 18:21:18,450 INFO    SystemMonitor:43204 [interfaces.py:start():190] Started gpu monitoring
2024-06-10 18:21:18,450 INFO    SystemMonitor:43204 [interfaces.py:start():190] Started memory monitoring
2024-06-10 18:21:18,451 INFO    SystemMonitor:43204 [interfaces.py:start():190] Started network monitoring
2024-06-10 18:21:18,497 DEBUG   HandlerThread:43204 [system_info.py:probe():151] Probing system
